"","source","audit_type_condensed","authors","title","urls","journal_series_institution","year","keywords","abstract","source_detailed","audit_type","paper_id"
"86","ACMDL - Audit","Case Study","Black E,Elzayn H,Chouldechova A,Goldin J,Ho D","Algorithmic Fairness and Vertical Equity: Income Fairness with IRS Tax Audit Models","https://doi.org/10.1145/3531146.3533204;http://dx.doi.org/10.1145/3531146.3533204","FAccT '22",2022,NA,"This study examines issues of algorithmic fairness in the context of systems that inform tax audit selection by the United States Internal Revenue Service (IRS). While the field of algorithmic fairness has developed primarily around notions of treating like individuals alike, we instead explore the concept of vertical equity—appropriately accounting for relevant differences across individuals—which is a central component of fairness in many public policy settings. Applied to the design of the U.S. individual income tax system, vertical equity relates to the fair allocation of tax and enforcement burdens across taxpayers of different income levels. Through a unique collaboration with the Treasury Department and IRS, we use access to detailed, anonymized individual taxpayer microdata, risk-selected audits, and random audits from 2010-14 to study vertical equity in tax administration. In particular, we assess how the adoption of modern machine learning methods for selecting taxpayer audits may affect vertical equity. Our paper makes four contributions. First, we show how the adoption of more flexible machine learning (classification) methods—as opposed to simpler models—shapes vertical equity by shifting audit burdens from high to middle-income taxpayers. Second, given concerns about high audit rates of low-income taxpayers, we investigate how existing algorithmic fairness techniques would change the audit distribution. We find that such methods can mitigate some disparities across income buckets, but that these come at a steep cost to performance. Third, we show that the choice of whether to treat risk of underreporting as a classification or regression problem is highly consequential. Moving from a classification approach to a regression approach to predict the expected magnitude of underreporting shifts the audit burden substantially toward high income individuals, while increasing revenue. Last, we investigate the role of differential audit cost in shaping the distribution of audits. Audits of lower income taxpayers, for instance, are typically conducted by mail and hence pose much lower cost to the IRS. We show that a narrow focus on return-on-investment can undermine vertical equity. Our results have implications for ongoing policy debates and the design of algorithmic tools across the public sector.","ACMDL - Audit","Case Study",8
"87","ACMDL - Audit","Case Study","Bandy J","Inspecting Algorithmic Flows: Ethics, Transparency, and Accountability for Digital Mass Communication Platforms","https://doi.org/10.1145/3514094.3539538;http://dx.doi.org/10.1145/3514094.3539538","AIES '22",2022,"computers and society, algorithm auditing, platform accountability","With billions of users, algorithmic platforms like Facebook, Twitter, and TikTok are among the most influential communication technologies in the history of civilization. These platforms offer society a mixed bag of benefits and harms, but much remains ambiguous about their true dynamics, effects, and interworkings. As a step toward improved accountability, this document outlines a dissertation that inspects (i.e. audits) algorithmic platforms as mass communication flows. Broadly, I aim to characterize the temporal dynamics, content quality, and sustainability of four different platforms (Apple News, Google Ads, Twitter, and Facebook).","ACMDL - Audit","Case Study",33
"88","ACMDL - Audit","Ecosystem","DeVos A,Dhabalia A,Shen H,Holstein K,Eslami M","Toward User-Driven Algorithm Auditing: Investigating Users’ Strategies for Uncovering Harmful Algorithmic Behavior","https://doi.org/10.1145/3491102.3517441;http://dx.doi.org/10.1145/3491102.3517441","CHI '22",2022,"Algorithmic Harm, Search, Sensemaking, Auditing Algorithms, Fair Machine Learning, Qualitative Methods, User-Driven Algorithm Auditing, Collective Work, Algorithmic Bias","Recent work in HCI suggests that users can be powerful in surfacing harmful algorithmic behaviors that formal auditing approaches fail to detect. However, it is not well understood how users are often able to be so effective, nor how we might support more effective user-driven auditing. To investigate, we conducted a series of think-aloud interviews, diary studies, and workshops, exploring how users find and make sense of harmful behaviors in algorithmic systems, both individually and collectively. Based on our findings, we present a process model capturing the dynamics of and influences on users’ search and sensemaking behaviors. We find that 1) users’ search strategies and interpretations are heavily guided by their personal experiences with and exposures to societal bias; and 2) collective sensemaking amongst multiple users is invaluable in user-driven algorithm audits. We offer directions for the design of future methods and tools that can better support user-driven auditing.","ACMDL - Audit","Ecosystem",34
"89","ACMDL - Audit","Meta-Commentary","Park S,Kim S,Lim YS","Fairness Audit of Machine Learning Models with Confidential Computing","https://doi.org/10.1145/3485447.3512244;http://dx.doi.org/10.1145/3485447.3512244","WWW '22",2022,"Fairness, Algorithmic audit, Security and privacy, Confidential computing","Algorithmic discrimination is one of the significant concerns in applying machine learning models to a real-world system. Many researchers have focused on developing fair machine learning algorithms without discrimination based on legally protected attributes. However, the existing research has barely explored various security issues that can occur while evaluating model fairness and verifying fair models. In this study, we propose a fairness audit framework that assesses the fairness of ML algorithms while addressing potential security issues such as data privacy, model secrecy, and trustworthiness. To this end, our proposed framework utilizes confidential computing and builds a chain of trust through enclave attestation primitives combined with public scrutiny and state-of-the-art software-based security techniques, enabling fair ML models to be securely certified and clients to verify a certified one. Our micro-benchmarks on various ML models and real-world datasets show the feasibility of the fairness certification implemented with Intel SGX in practice. In addition, we analyze the impact of data poisoning, which is an additional threat during data collection for fairness auditing. Based on the analysis, we illustrate the theoretical curves of fairness gap and minimal group size and the empirical results of fairness certification on poisoned datasets.","ACMDL - Audit","Method",48
"90","ACMDL - Audit","Case Study","Seidelin C,Moreau T,Shklovski I,Holten Møller N","Auditing Risk Prediction of Long-Term Unemployment","https://doi.org/10.1145/3492827;http://dx.doi.org/10.1145/3492827",NA,2022,"public services, accountability, algorithm, job placement, audit","As more and more governments adopt algorithms to support bureaucratic decision-making processes, it becomes urgent to address issues of responsible use and accountability. We examine a contested public service algorithm used in Danish job placement for assessing an individual's risk of long-term unemployment. The study takes inspiration from cooperative audits and was carried out in dialogue with the Danish unemployment services agency. Our audit investigated the practical implementation of algorithms. We find (1) a divergence between the formal documentation and the model tuning code, (2) that the algorithmic model relies on subjectivity, namely the variable which focus on the individual's self-assessment of how long it will take before they get a job, (3) that the algorithm uses the variable ""origin"" to determine its predictions, and (4) that the documentation neglects to consider the implications of using variables indicating personal characteristics when predicting employment outcomes. We discuss the benefits and limitations of cooperative audits in a public sector context. We specifically focus on the importance of collaboration across different public actors when investigating the use of algorithms in the algorithmic society.","ACMDL - Audit","Case Study",63
"91","ACMDL - Bias","Case Study","Andriyansah, Redy and Bukhari, Syed Saqib and Jenckel, Martin and Dengel, Andreas","Using Balanced Training to Minimize Biased Classification","https://doi.org/10.1145/3352631.3352639","HIP '19",2019,"biased performance, balanced training, document zone","In this paper, we classify semantic zone in a document image and observe how a balanced training influences the classification performance. Unlike holistic document which normally distinguishes in content and structural layout, semantic zone introduces stronger inter-class ambiguity as it loses layout feature. Zone extraction from documents often results in unbalanced class distribution. Our experiment shows that training on such data leads to a biased classification. We classify semantic zone by using AlexNet which is a Convolutional Neural Network (CNN). It works on 3 corpora: University of Washington (UW) III, German historical document images (OCRD), and combination of both data sets. Because zone distribution is heavily unbalanced, we augment the data and balance the training distribution to prevent over expression by major classes. To maintain accuracy, we adopt transfer learning from larger document corpus (RVLCDIP). Besides deep learning, we also use heuristic approach to compare performance between balanced and unbalanced training. The result shows that balanced training can alleviate biased performance.","ACMDL - Bias","Case Study",45
"92","ACMDL - Bias","Case Study","Badjatiya, Pinkesh and Gupta, Manish and Varma, Vasudeva","Stereotypical Bias Removal for Hate Speech Detection Task Using Knowledge-Based Generalizations","https://doi.org/10.1145/3308558.3313504","WWW '19",2019,"bias removal, stereotypical bias, hate speech, knowledge-based generalization, bias detection, natural language processing","With the ever-increasing cases of hate spread on social media platforms, it is critical to design abuse detection mechanisms to pro-actively avoid and control such incidents. While there exist methods for hate speech detection, they stereotype words and hence suffer from inherently biased training. Bias removal has been traditionally studied for structured datasets, but we aim at bias mitigation from unstructured text data. In this paper, we make two important contributions. First, we systematically design methods to quantify the bias for any model and propose algorithms for identifying the set of words which the model stereotypes. Second, we propose novel methods leveraging knowledge-based generalizations for bias-free learning. Knowledge-based generalization provides an effective way to encode knowledge because the abstraction they provide not only generalizes content but also facilitates retraction of information from the hate speech detection classifier, thereby reducing the imbalance. We experiment with multiple knowledge generalization policies and analyze their effect on general performance and in mitigating bias. Our experiments with two real-world datasets, a Wikipedia Talk Pages dataset (WikiDetox) of size ~ 96k and a Twitter dataset of size ~ 24k, show that the use of knowledge-based generalizations results in better performance by forcing the classifier to learn from generalized content. Our methods utilize existing knowledge-bases and can easily be extended to other tasks.","ACMDL - Bias","Case Study",56
"93","ACMDL - Bias","Case Study","Babaeianjelodar, Marzieh and Lorenz, Stephen and Gordon, Josh and Matthews, Jeanna and Freitag, Evan","Quantifying Gender Bias in Different Corpora","https://doi.org/10.1145/3366424.3383559","WWW '20",2020,"BERT, natural language processing, gender bias, datasets","Word embedding models have been shown to be effective in performing a wide variety of Natural Language Processing (NLP) tasks such as identifying audiences for web advertisements, parsing resum\'es to select promising job candidates, and translating documents from one language to another. However, it has been demonstrated that NLP systems learn gender bias from the corpora of documents on which they are trained. It is increasingly common for pre-trained models to be used as a starting point for building applications in a wide range of areas including critical decision making applications. It is also very easy to use a pre-trained model as the basis for a new application without careful consideration of the original nature of the training set. In this paper, we quantify the degree to which gender bias differs with the corpora used for training. We look especially at the impact of starting with a pre-trained model and fine-tuning with additional data. Specifically, we calculate a measure of direct gender bias on several pre-trained models including BERTâ€™s Wikipedia and Book corpus models as well as on several fine-tuned General Language Understanding Evaluation (GLUE) benchmarks. In addition, we evaluate the bias from several more extreme corpora including the Jigsaw identity toxic dataset that includes toxic speech biased against race, gender, religion, and disability and the RtGender dataset that includes speech specifically labelled by gender. Our results reveal that the direct gender bias of the Jigsaw toxic identity dataset is surprisingly close to that of the base pre-trained Google model, but the RtGender dataset has significantly higher direct gender bias than the base model. When the bias learned by an NLP system can vary significantly with the corpora used for training, it becomes important to consider and report these details, especially for use in critical decision-making applications.","ACMDL - Bias","Case Study",12
"94","ACMDL - Bias","Case Study","Wan, Mengting and Ni, Jianmo and Misra, Rishabh and McAuley, Julian","Addressing Marketing Bias in Product Recommendations","https://doi.org/10.1145/3336191.3371855","WSDM '20",2020,"marketing bias, recommender systems, machine learning fairness","Modern collaborative filtering algorithms seek to provide personalized product recommendations by uncovering patterns in consumer-product interactions. However, these interactions can be biased by how the product is marketed, for example due to the selection of a particular human model in a product image. These correlations may result in the underrepresentation of particular niche markets in the interaction data; for example, a female user who would potentially like motorcycle products may be less likely to interact with them if they are promoted using stereotypically 'male' images.In this paper, we first investigate this correlation between users' interaction feedback and products' marketing images on two real-world e-commerce datasets. We further examine the response of several standard collaborative filtering algorithms to the distribution of consumer-product market segments in the input interaction data, revealing that marketing strategy can be a source of bias for modern recommender systems. In order to protect recommendation performance on underrepresented market segments, we develop a framework to address this potential marketing bias. Quantitative results demonstrate that the proposed approach significantly improves the recommendation fairness across different market segments, with a negligible loss (or better) recommendation accuracy.","ACMDL - Bias","Case Study",15
"95","ACMDL - Bias","Case Study","Zhu, Ziwei and Wang, Jianling and Caverlee, James","Measuring and Mitigating Item Under-Recommendation Bias in Personalized Ranking Systems","https://doi.org/10.1145/3397271.3401177","SIGIR '20",2020,"recommender systems, recommendation bias, statistical parity, equal opportunity","Recommendation algorithms typically build models based on user-item interactions (e.g., clicks, likes, or ratings) to provide a personalized ranked list of items. These interactions are often distributed unevenly over different groups of items due to varying user preferences. However, we show that recommendation algorithms can inherit or even amplify this imbalanced distribution, leading to item under-recommendation bias. Concretely, we formalize the concepts of ranking-based statistical parity and equal opportunity as two measures of item under-recommendation bias. Then, we empirically show that one of the most widely adopted algorithms -- Bayesian Personalized Ranking -- produces biased recommendations, which motivates our effort to propose the novel debiased personalized ranking model. The debiased model is able to improve the two proposed bias metrics while preserving recommendation performance. Experiments on three public datasets show strong bias reduction of the proposed model versus state-of-the-art alternatives.","ACMDL - Bias","Case Study",41
"96","ACMDL - Bias","Case Study","Aires, Victoria and da Silva, Altigran and Nakamura, Fabiola and Nakamura, Eduardo","An Evaluation of Structural Characteristics of Networks to Identify Media Bias in News Portals","https://doi.org/10.1145/3428658.3431077","WebMedia '20",2020,"network analysis, news analysis, online news, media bias detection","Nowadays, news websites are the main sources of information for most people. But these outlets may have a bias in their publications, favoring some ideology. This can influence people's opinion regarding several topics. Methods to automatically detect bias are usually based on aspects such as text and embedded hyperlinks. In this work, we present a strategy to detect media bias by analyzing networks that model citations between news websites, evaluating if the bias is related to structural characteristics of these networks. We show that ideological bias can be captured by citation patterns and present a method that uses these patterns to automatically identify political bias in news websites, reaching accuracy and F1 scores above 72% and 0.70, respectively.","ACMDL - Bias","Case Study",49
"97","ACMDL - Bias","Case Study","Zhu, Ziwei and He, Yun and Zhao, Xing and Zhang, Yin and Wang, Jianling and Caverlee, James","Popularity-Opportunity Bias in Collaborative Filtering","https://doi.org/10.1145/3437963.3441820","WSDM '21",2021,"recommender systems, statistical parity, recommendation bias, equal opportunity","This paper connects equal opportunity to popularity bias in implicit recommenders to introduce the problem of popularity-opportunity bias. That is, conditioned on user preferences that a user likes both items, the more popular item is more likely to be recommended (or ranked higher) to the user than the less popular one. This type of bias is harmful, exerting negative effects on the engagement of both users and item providers. Thus, we conduct a three-part study: (i) By a comprehensive empirical study, we identify the existence of the popularity-opportunity bias in fundamental matrix factorization models on four datasets; (ii) coupled with this empirical study, our theoretical study shows that matrix factorization models inherently produce the bias; and (iii) we demonstrate the potential of alleviating this bias by both in-processing and post-processing algorithms. Extensive experiments on four datasets show the effective debiasing performance of these proposed methods compared with baselines designed for conventional popularity bias.","ACMDL - Bias","Case Study",17
"98","ACMDL - Bias","Case Study","Acosta, Halim and Henderson, Nathan and Rowe, Jonathan and Min, Wookhee and Minogue, James and Lester, James","What's Fair is Fair: Detecting and Mitigating Encoded Bias in Multimodal Models of Museum Visitor Attention","https://doi.org/10.1145/3462244.3479943","ICMI '21",2021,"Multimodal learning analytics, museum-based learning, algorithmic fairness, visitor modeling","Recent years have seen growing interest in modeling visitor engagement in museums with multimodal learning analytics. In parallel, there has also been growing concern about issues of fairness and encoded bias in machine learning models. In this paper, we investigate bias detection and mitigation techniques to address issues of algorithmic fairness in multimodal models of museum visitor visual attention. We employ slicing analysis using the Absolute Between-ROC Area (ABROCA) statistic to detect encoded bias present in multimodal models of visitor visual attention trained with facial expression and posture data from visitor interactions with a game-based museum exhibit about environmental sustainability. We investigate instances of gender bias that arise between different combinations of modalities across several machine learning techniques. We also measure the effectiveness of two different debiasing strategiesâ€”learned fair representations and reweighingâ€”when applied to the trained multimodal visitor attention models. Results indicate that patterns of bias can arise across different modality combinations for the different visitor visual attention models, and there is often an inherent tradeoff between predictive accuracy and ABROCA. Analyses suggest that debiasing strategies tend to be more effective on multimodal models of visitor visual attention than their unimodal counterparts","ACMDL - Bias","Case Study",32
"99","ACMDL - Bias","Case Study","Zhu, Ziwei and He, Yun and Zhao, Xing and Caverlee, James","Popularity Bias in Dynamic Recommendation","https://doi.org/10.1145/3447548.3467376","KDD '21",2021,"dynamic recommendation, popularity bias","Popularity bias is a long-standing challenge in recommender systems: popular items are overly recommended at the expense of less popular items that users may be interested in being under-recommended. Such a bias exerts detrimental impact on both users and item providers, and many efforts have been dedicated to studying and solving such a bias. However, most existing works situate the popularity bias in a static setting, where the bias is analyzed only for a single round of recommendation with logged data. These works fail to take account of the dynamic nature of real-world recommendation process, leaving several important research questions unanswered: how does the popularity bias evolve in a dynamic scenario? what are the impacts of unique factors in a dynamic recommendation process on the bias? and how to debias in this long-term dynamic process? In this work, we investigate the popularity bias in dynamic recommendation and aim to tackle these research gaps. Concretely, we conduct an empirical study by simulation experiments to analyze popularity bias in the dynamic scenario and propose a dynamic debiasing strategy and a novel False Positive Correction method utilizing false positive signals to debias, which show effective performance in extensive experiments.","ACMDL - Bias","Case Study",37
"100","ACMDL - Bias","Case Study","Abdollahpouri, Himan and Mansoury, Masoud and Burke, Robin and Mobasher, Bamshad and Malthouse, Edward","User-Centered Evaluation of Popularity Bias in Recommender Systems","https://doi.org/10.1145/3450613.3456821","UMAP '21",2021,"long-tail recommendation, popularity bias, calibration, recommender systems, fairness","Recommendation and ranking systems are known to suffer from popularity bias; the tendency of the algorithm to favor a few popular items while under-representing the majority of other items. Prior research has examined various approaches for mitigating popularity bias and enhancing the recommendation of long-tail, less popular, items. The effectiveness of these approaches is often assessed using different metrics to evaluate the extent to which over-concentration on popular items is reduced. However, not much attention has been given to the user-centered evaluation of this bias; how different users with different levels of interest towards popular items are affected by such algorithms. In this paper, we show the limitations of the existing metrics to evaluate popularity bias mitigation when we want to assess these algorithms from the usersâ€™ perspective and we propose a new metric that can address these limitations. In addition, we present an effective approach that mitigates popularity bias from the user-centered point of view. Finally, we investigate several state-of-the-art approaches proposed in recent years to mitigate popularity bias and evaluate their performances using the existing metrics and also from the usersâ€™ perspective. Our experimental results using two publicly-available datasets show that existing popularity bias mitigation techniques ignore the usersâ€™ tolerance towards popular items. Our proposed user-centered method can tackle popularity bias effectively for different users while also improving the existing metrics.","ACMDL - Bias","Case Study",39
"101","ACMDL - Bias","Case Study","Zhu, Ziwei and Caverlee, James","Fighting Mainstream Bias in Recommender Systems via Local Fine Tuning","https://doi.org/10.1145/3488560.3498427","WSDM '22",2022,"local models, recommender systems, mainstream bias","In collaborative filtering, the quality of recommendations critically relies on how easily a model can find similar users for a target user. Hence, a niche user who prefers items out of the mainstream may receive poor recommendations, while a mainstream user sharing interests with many others will likely receive recommendations of higher quality. In this work, we study this mainstream bias centering around three key thrusts. First, to distinguish mainstream and niche users, we explore four approaches based on outlier detection techniques to identify a mainstream score indicating the mainstream level for each user. Second, we empirically show that severe mainstream bias is produced by conventional recommendation models. Last, we explore both global and local methods to mitigate the bias. Concretely, we propose two global models: Distribution Calibration (DC) and Weighted Loss (WL) methods; and one local method: Local Fine Tuning (LFT) method. Extensive experiments show the effectiveness of the proposed methods to improve utility for niche users and also show that the proposed LFT can improve the utility for mainstream users at the same time.","ACMDL - Bias","Case Study",51
"102","ACMDL - Bias","Case Study","Ahmed, Md. Arshad and Chatterjee, Madhura and Dadure, Pankaj and Pakray, Partha","The Role of Biased Data in Computerized Gender Discrimination","https://doi.org/10.1145/3524501.3527599","GE@ICSE '22",2022,"gender bias, debiasing, natural language processing, artificial intelligence","Gender bias is prevalent in all walks of life from schools to colleges, corporate as well as government offices. This has led to the under-representation of the female gender in many professions. Most of the Artificial Intelligence-Natural Language Processing (AI-NLP) models learning from these underrepresented real world datasets amplify the bias in many cases, resulting in traditional biases being reinforced. In this paper, we have discussed how gender bias became ingrained in our society and how it results in the underrepresentation of the female gender in several fields such as education, healthcare, STEM, film industry, food industry, and sports. We shed some light on how traditional gender bias is reflected in AI-NLP systems such as automated resume screening, machine translation, text generation, etc. Future prospects of these AI-NLP applications need to include possible solutions to these existing biased AI-NLP applications, such as debiasing the word embeddings and having guidelines for more ethical and transparent standards.","ACMDL - Bias","Case Study",53
"103","ACMDL - Case Study","Data Audit","Ciliberto, Mathias and Wang, Lin and Roggen, Daniel and Zillmer, Ruediger","A Case Study for Human Gesture Recognition from Poorly Annotated Data","https://doi.org/10.1145/3267305.3267508","UbiComp '18",2018,"dataset annotation, dataset curation, Gesture recognition, activity discovery","In this paper we present a case study on drinking gesture recognition from a dataset annotated by Experience Sampling (ES). The dataset contains 8825 ""sensor events"" and users reported 1808 ""drink events"" through experience sampling. We first show that the annotations obtained through ES do not reflect accurately true drinking events. We present then how we maximise the value of this dataset through two approaches aiming at improving the quality of the annotations post-hoc. First, we use template-matching (Warping Longest Common Subsequence) to spot a subset of events which are highly likely to be drinking gestures. We then propose an unsupervised approach which can perform drinking gesture recognition by combining K-Means clustering with WLCSS. Experimental results verify the effectiveness of the proposed method.","ACMDL - Case Study","Data Audit",74
"104","ACMDL - Case Study","Case Study","Sanabria, Mariutsi Alexandra Osorio and Fern\'andez, Ferney Orlando Amaya and Zabala, Mayda Patricia Gonz\'alez","Colombian Case Study for the Analysis of Open Data Government: A Data Quality Approach","https://doi.org/10.1145/3209415.3209474","ICEGOV '18",2018,"Open Government Data, Open Data, Data Profile, Data quality","Public entities have high volumes of stored government data that serve as a source of information for their management, improve the provision of services and interaction with the community, generating social and economic value. Some public administrations, despite being interested in opening the data, have faced obstacles to disseminate them, especially when data are of poor quality. The objective of this paper is to present the importance of evaluating the quality of the data sets that comply with the open format and that are published by public entities for the use of the community, being the case study the public administration of the municipality of Sabaneta The level of quality of open government data is evaluated in three dimensions: Precision, integrity and consistency, to propose strategies and data quality indicators for the improvement of Open Government Data (DGA) to be published.","ACMDL - Case Study","Case Study",89
"105","ACMDL - Case Study","Meta-Commentary","Barboza, Thais Mester and Santoro, Flavia Maria and Revoredo, Kate Cerqueira and Costa, Rosa M.M.","A Case Study of Process Mining in Auditing","https://doi.org/10.1145/3330204.3330241","SBSI'19",2019,"Process mining, Conformance Checking, Process Auditing","A business process is a sequence of activities logically organized with the goal to produce a service or product which add value for a customer. Process auditing in corporate environment aims to assess the degree of compliance of processes and their controls. Due to the volume of information that needs to be analyzed in an audit job, its cost can be very high. We argue that process mining has the potential to improve this activity, allowing the auditor to meet the short deadlines, as well as bringing greater value to the senior management and reliability in the service provided by the audit. Our goal is to discuss how process mining can improve and bring agility to the verification of conformity of the process model against the process actually carried out in an organization.","ACMDL - Case Study","Meta-Commentary",72
"106","ACMDL - Case Study","Case Study","Goens, Andr\'es and Brauckmann, Alexander and Ertel, Sebastian and Cummins, Chris and Leather, Hugh and Castrillon, Jeronimo","A Case Study on Machine Learning for Synthesizing Benchmarks","https://doi.org/10.1145/3315508.3329976","MAPL 2019",2019,"Synthetic program generation, Machine Learning, Benchmarking, Generative models, CLGen","Good benchmarks are hard to find because they require a substantial effort to keep them representative for the constantly changing challenges of a particular field. Synthetic benchmarks are a common approach to deal with this, and methods from machine learning are natural candidates for synthetic benchmark generation. In this paper we investigate the usefulness of machine learning in the prominent CLgen benchmark generator. We re-evaluate CLgen by comparing the benchmarks generated by the model with the raw data used to train it. This re-evaluation indicates that, for the use case considered, machine learning did not yield additional benefit over a simpler method using the raw data. We investigate the reasons for this and provide further insights into the challenges the problem could pose for potential future generators.","ACMDL - Case Study","Case Study",78
"107","ACMDL - Case Study","Case Study","Gordon, Mitchell and Althoff, Tim and Leskovec, Jure","Goal-Setting And Achievement In Activity Tracking Apps: A Case Study Of MyFitnessPal","https://doi.org/10.1145/3308558.3313432","WWW '19",2019,NA,"Activity tracking apps often make use of goals as one of their core motivational tools. There are two critical components to this tool: setting a goal, and subsequently achieving that goal. Despite its crucial role in how a number of prominent self-tracking apps function, there has been relatively little investigation of the goal-setting and achievement aspects of self-tracking apps. Here we explore this issue, investigating a particular goal setting and achievement process that is extensive, recorded, and crucial for both the app and its users' success: weight loss goals in MyFitnessPal. We present a large-scale study of 1.4 million users and weight loss goals, allowing for an unprecedented detailed view of how people set and achieve their goals. We find that, even for difficult long-term goals, behavior within the first 7 days predicts those who ultimately achieve their goals, that is, those who lose at least as much weight as they set out to, and those who do not. For instance, high amounts of early weight loss, which some researchers have classified as unsustainable, leads to higher goal achievement rates. We also show that early food intake, self-monitoring motivation, and attitude towards the goal are important factors. We then show that we can use our findings to predict goal achievement with an accuracy of 79% ROC AUC just 7 days after a goal is set. Finally, we discuss how our findings could inform steps to improve goal achievement in self-tracking apps.","ACMDL - Case Study","Case Study",79
"108","ACMDL - Case Study","Case Study","Islam, M. D. Samiul and Liu, Daizong and Wang, Kewei and Zhou, Pan and Yu, Li and Wu, Dapeng","A Case Study of HealthCare Platform Using Big Data Analytics and Machine Learning","https://doi.org/10.1145/3341069.3342980","HPCCT '19",2019,"Data Mining, Disease Prediction, Big Data, Healthcare, Machine Learning","The medical services in Bangladesh are shortage nowadays; people are suffering from getting the correct treatment from the hospital. With the low proportion of the doctors and the low per capita salary in Bangladesh, patients need to spend more money to get the appropriate treatments. Therefore, it is necessary to apply modern information technologies by which the scaffold between the patients and specialists can be reduced, and the patients can take proper treatment at a lower cost. Fortunately, we can solve this critical problem by utilizing interaction among electrical devices. With the big data collected from these devices, machine learning is a powerful tool for the data analytics because of its high accuracy, lower computational costs, and lower power consumption. This research is based on a case of study by the incorporation of the database, mobile application, web application and develops a novel platform through which the patients and the doctors can interact. In addition, the platform helps to store the patients' health data to make the final prediction using machine learning methods to get the proper healthcare treatment with the help of the machines and the doctors. The experiment result shows the high accuracy over 95% of the disease detection using machine learning methods, with the cost 90% lower than the local hospital in Bangladesh, which provides the strong support to implement of our platform in the remote area of the country.","ACMDL - Case Study","Case Study",83
"109","ACMDL - Case Study","Case Study","\'Alvarez Fern\'andez, Pablo \'Angel and Hajek, Jeremy R.","A Case Study in Comparative Speech-to-Text Libraries for Use in Transcript Generation for Online Education Recordings","https://doi.org/10.1145/3368308.3415380","SIGITE '20",2020,"algorithms, floss, speech-to-text, deepspeech, kubernetes, automatic speech recognition, subtitles, cloud, test suites","With a proliferation of Cloud based Speech-to-Text services it can be difficult to decide where to start and how to make use of these technologies. These include the major Cloud providers as well as several Open Source Speech-to-Text projects available. We desired to investigate a sample of the available libraries and their attributes relating to the recording artifacts that are the by-product of Online Education.The fact that so many resources are available means that the computing and technical barriers for applying speech recognition algorithms have decreased to the point of being a non-factor in the decision to use Speech-to-Text services. New barriers such as price, compute time, and access to the services? source code (software freedom) can be factored into the decision of which platform to use.This case study provides a beginning to developing a test-suite and guide to compare Speech-to-Text libraries and their out-of-the-box accuracy. Our initial test suite employed two models: 1) a Cloud model employing AWS S3 using AWS Transcribe, 2) an on-premises Open Source model that relies on Mozilla's DeepSpeech[1]. We present our findings and recommendations based on the criteria discovered.In order to deliver this test-suite, we also conducted research into the latest web development technologies with emphasis on security. This was done to produce a reliable and secure development process and to provide open access to this proof of concept for further testing and development.","ACMDL - Case Study","Case Study",66
"110","ACMDL - Case Study","Case Study","Ameko, Mawulolo K. and Beltzer, Miranda L. and Cai, Lihua and Boukhechba, Mehdi and Teachman, Bethany A. and Barnes, Laura E.","Offline Contextual Multi-Armed Bandits for Mobile Health Interventions: A Case Study on Emotion Regulation","https://doi.org/10.1145/3383313.3412244","RecSys '20",2020,"Emotion regulation, Mobile health, User modeling, Health recommender systems, Offline contextual bandits","Delivering treatment recommendations via pervasive electronic devices such as mobile phones has the potential to be a viable and scalable treatment medium for long-term health behavior management. But active experimentation of treatment options can be time-consuming, expensive and altogether unethical in some cases. There is a growing interest in methodological approaches that allow an experimenter to learn and evaluate the usefulness of a new treatment strategy before deployment. We present the first development of a treatment recommender system for emotion regulation using real-world historical mobile digital data from n = 114 high socially anxious participants to test the usefulness of new emotion regulation strategies. We explore a number of offline contextual bandits estimators for learning and propose a general framework for learning algorithms. Our experimentation shows that the proposed doubly robust offline learning algorithms performed significantly better than baseline approaches, suggesting that this type of recommender algorithm could improve emotion regulation. Given that emotion regulation is impaired across many mental illnesses and such a recommender algorithm could be scaled up easily, this approach holds potential to increase access to treatment for many people. We also share some insights that allow us to translate contextual bandit models to this complex real-world data, including which contextual features appear to be most important for predicting emotion regulation strategy effectiveness.","ACMDL - Case Study","Case Study",70
"111","ACMDL - Case Study","Case Study","Boukhayma, Khaoula and Idrissi, Mohammed Abdou Janati and Benhiba, Lamia","Evaluating Ongoing Decision Support System: A Case Study","https://doi.org/10.1145/3419604.3419802","SITA'20",2020,"Decision support systems, software evaluation, user learning","The aim of this paper is to put into practice a framework we proposed in an earlier work for evaluating on-going decision support systems. The framework serves as a base for a method to compute evaluation criteria scores using an AHP model. The paper also illustrates the automation of this method into a tool to enable GASCO company to choose between two already implemented DSSs in order to reduce IT operating cost. The evaluation covers three axes: Process, outcome and decision maker metrics. The results highlight the importance of using users' learning as a measure to determine DSS success.","ACMDL - Case Study","Case Study",73
